Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,District/Town_Original
Chisamba And Maomboshi (Iron),-14.95,28.1744,Central Province,Kabwe,Central Province > Kabwe,East Of Lusaka-Kabwe Road,Kabwe,48 KM north of Lusaka,Iron,Gold,,Active,SEDIMENTARY IRON FORMATION,"CHISAMBA, 48 KM N OF LUSAKA, SEDIMENTARY IRON FORMATION NEAR BASE OF THE KATANGA SYSTEM STRIKE E, DIP 45° S, 3 KM LONG, 15 M THICK CONSISTS OF MAGNETITE AND HEMATITE GRADING 50% TO 60% FE, PREVIOUSLY MINED AS MAOMBOSHI IRON MAOMBOSHI RIDGE, GUERNSEY MO 192, 17 KM E OF CHISAMBA, SIMILAR TO CHISAMBA, MINED IN 1952-55 WHEN 11,800 T WERE SHIPPED TO KABUE FOR METALLURGICAL PURPOSES AVERAGE GRADE WAS 589% FE AND 78% SIO2","Mineralization: GOLD, IRON.",271.0001433,3.871430618,
Kaputa,-14.8833,28.5,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Maomboshi Group,Kabwe,50 KM NE of Lusaka,Gold,,,Unknown,ELUVIAL-ENRICHED GOLD FROM HYDROTHERMAL STOCKWORKS,"THE AREA IS FLAT AND UNDERLAIN BY WEATHERED BASEMENT ROCKS WHICH ARE COMPOSED MAINLY OF STRONGLY SHEARED LEUCOCRATIC-MUSCOVITE GNEISSES, QUARTZ-MUSCOVITE SCHISTS AND MASSIVE, RECRYSTALLIZED QUARTZITES OFTEN THIN LAYERS OF QUARTZITE ARE INTERCALATED IN THE SCHISTS AS ARE SMALL CONCORDANT PEGMATITE FOLIATION PLANES CONTAIN AS ACCESSORY MINERALS A SMALL AMOUNT OF MUSCOVITE AND RARE AMOUNTS OF HEMATITE WITHIN THE PROSPECT AREA, THE BEDROCK IS CAPPED BY A LOCALLY DEVELOPED, POORLY SORTED, SANDY TOP LAYER FOLLOWED BY AN ELUVIAL RUBBLE THE SAND LAYER, 0 TO 16 M THICK, IS COMPOSED OF COARSE TO MEDIUM, POORLY SORTED AND ROUNDED QUARTZ GRAINS BELIEVED AN ELUVIUM WASHED AND TRANSPORTED OVER SHORT DISTANCES THE RUBBLE IS COMPOSED OF ANGULAR QUARTZITE PEBBLES AND QUARTZ/QUARTZ-HEMATITE ROCK MIXED WITH SCHIST FRAGMENTS IN A TOTALLY WEATHERED MATRIX THE PEBBLES VARY IN SIZE WITH THE QUARTZ-HEMATITE PEBBLES BEING AURIFEROUS AND BELIEVED TO BE OF A VEIN ORIGIN THE SCHISTS ARE MAINLY QUARTZ AND MUSCOVITE WITH RARE AMOUNTS OF KYANITE AND FELDSPAR QUARTZ GRAINS OFTEN EXHIBIT A MOSAIC STRUCTURE INDICATIVE OF HEAVY STRESSES DURING TECTONIC EVENTS DISSEMINATED IRON OXIDES IN THE SCHISTS OFTEN PRODUCE A MARKED RED COLOUR QUARTZITES ARE OCCASIONALLY SHEARED OR EVEN MYLONITIZED EAST-WEST-STRIKING AND VERTICALLY DIPPING, TINY QUARTZ VEINS, 5 TO 40 CM THICK, OCCUR AS STOCKWORKS OVER 1 TO 2 M WIDTHS AND STRIKE LENGTHS OF 200-400 M THESE VEINLETS CUTTING THE NEAR FLAT-LYING HOST ROCKS ARE THOUGHT TO BE THE SOURCE OF THE GOLD-BEARING QUARTZ FRAGMENTS THE PROSPECT IS BELIEVED TO BE LOCATED ON THE MAOMBOSHI DISLOCATION ZONE FAINT TRACES OF DISPLACEMENT OF THE COUNTRY ROCKS ARE VISIBLE BUT OBSCURED BY THE STRONG WEATHERING THE AURIFEROUS ROCK IS STRONGLY OXIDIZED AND COMPOSED PREDOMINANTLY OF QUARTZ, LIMONITE AND HEMATITE, AND LOCALLY A CONSIDERABLE AMOUNT OF ANKERITE THE GOLD OCCURRING AS FREE GOLD IS VERY FINE GRAINED THE GRADES VARY FROM 004 G/T TO 52 G/T GOLD WITH ACCOMPANYING BISMUTH GRADES UP TO 10,000 PPM","Rock types: SCHIST; Mineralization: GOLD, IRON.",270.580466,3.865435228,
Liteta,-14.7667,28.05,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Maomboshi Area,Kabwe,73 KM WNW of Lusaka,Gold,,,Unknown,HYDROTHERMAL QUARTZ VEIN,"A NORTHEAST-STRIKING, NARROW QUARTZ-IRON CARBONATE VEIN TRACEABLE OVER 120 M AND TO A DEPTH OF 25 M THE VEIN AVERAGES 012 M WIDTH AND CARRIES ERRATIC GOLD VALUES FROM MINOR AMOUNTS TO SEVERAL GRAMS PER TONNE OTHER NARROWER PARALLEL VEINS ARE PRESENT",Mineralization: GOLD.,249.2777871,3.561111245,
Katie,-13.8706,29.925,Central Province,Serenje,Central Province > Serenje,Petauke Mission,Serenje,40 KM SE of Petauke mission,Gold,,,Active,HYDROTHERMAL QUARTZ VEINS,"FIVE BLOCKS OF CLAIMS (KATIE EXTENSION) AND FOUR BLOCKS OF CLAIMS (PETAUKE) COMPRISE NO 62, LOCATED ON A RIDGE BETWEEN THE PETAUKE AND MSAKA STREAMS MINERALIZATION CONSISTS OF: A) THIN (A FEW CM WIDE) IRON STAINED GOLD BEARING QUARTZ LENSES THAT FOLLOW THE FOLIATION OF THE BEDROCK (SANDY MICACEOUS SCHISTS); B) A 12 M TO 18 M WIDE GOLD BEARING DYKE; C) A SERIES OF THIN CROSS-CUTTING GOLD BEARING QUARTZ VEINS OR STRINGERS THE DYKE EXPOSED IN 11 TRENCHES AND A SHAFT APPEARS TO BE THE MOST IMPORTANT GOLD BEARING UNIT OF 12 SAMPLES OF DYKE MATERIAL TAKEN FROM THE DUMP, 3 ASSAYED 85 G AU/T, 1 ASSAYED 153 G AU/T AND ONE 75 G AU/T ZAMEX EXAMINED IN 1961 AND DESCRIBED THE SHOWING AS AN ANTICLINAL STRUCTURE OF INDURATED MICACEOUS QUARTZITE INTERBEDDED WITH QUARTZ-MICA SCHISTS BEST CHANNEL SAMPLE GAVE 17 G AU/T OVER 91 M WITH ONE GRAB SAMPLE AT 75 G AU/T",WIDESPREAD GOLD MINERALIZATION WARRANTS A RE-INVESTIGATION.,269.3828186,3.84832598,
Kawenisha,-14.5,29.5833,Central Province,Mkushi,Central Province > Mkushi,Approximately 7 Km Nw (?) Of Chief Kawenishas Village,Mkushi,Approximately 18 KM east of old Mkushi,Beryl,,,Unknown,BERYL-BEARING PEGMATITE,"THE PEGMATITE CROPS OUT FOR 195 M BY 15 M, STRIKING 40° IT IS ZONED WITH BARREN QUARTZ, FELDSPAR AND MICA AT THE ENDS, AND THE SAME MINERALS WITH ACCESSORY BERYL IN THE CENTRAL 80-90 M THE BERYL IS ABUNDANT IN PLACES, BUT AS EXPOSED IN PITS IS ALL CLOUDY AND CHARGED WITH INCLUSIONS IT OCCURS AS BLUE-GREEN CRYSTALS AVERAGING <1 CM TO 15 CM AND IS HIGHLY FRACTURED NO GEMS HAVE BEEN FOUND","ALTHOUGH IT IS POSSIBLE THAT BETTER QUALITY MATERIAL IS PRESENT AT DEPTH, THE CHANCE OF FINDING SIGN...",287.9906567,4.114152239,
Buffalo - Quagga Chateka,-14.6375,29.3914,Central Province,Mkushi,Central Province > Mkushi,Western End Of Lunsemfwa Valley,Mkushi,125 KM NE of Lusaka,Gold,,,Unknown,HYDROTHERMAL QUARTZ VEINS,"UNCLASSIFIED THICK SEQUENCE OF SHEAR-FOLDED SCHIST AND QUARTZITE WITH THE CHATEKA OCCURRING AT THE W CONTACT OF A SYNTECTONIC HORNBLENDE-GRANITE BUFFALO-QUAGGA (NO 168, RMC 35 AND 116) IS LOCATED AT LAT 14°38'S, LONG 29°23'E, AND CONSISTS OF OLD TRENCHES EXPOSING QUARTZ VEINLETS (AVERAGE THICKNESS LESS THAN 03 M) CARRYING MALACHITE, TOURMALINE, IRON OXIDES AND BISMUTH MINERALS ASSAYED HIGH GOLD VALUES, BUT THESE WERE NOT CONTROLLED CHATEKA (NO 165, RMC 117) IS LOCATED AT LAT 15°02'S, LONG 29°28'E, AND CONSISTS OF QUARTZ RUBBLE OVER A 60 M SQ AREA THAT ASSAYED UP TO 48 G AU/T, BUT AVERAGED LESS THAN ONE G AU/T",THE NARROW NATURE OF THE QUARTZ VEINS COUPLED WITH THE BELIEVED SURFACE ENRICHED GOLD MAKE THE DEPOSIT OF LOW PRIORITY.,287.2223739,4.10317677,
Kampumba,-14.5,29.0833,Central Province,Mkushi,Central Province > Mkushi,12.8 Km Sw Of The Lunsemfwa Power Station,Mkushi,78 KM by road from Kabwe,Iron,Manganese,,Active,REPLACEMENT DEPOSIT,"THE DEPOSIT IS REPORTED BY GUERNSEY TO BE A REPLACEMENT OF IMPURE LIMESTONE IN THE BASEMENT IT FORMS THREE PROMINENT HILLS (EAST, MIDDLE AND WEST) ALONG A DISTANCE OF 2,400 M AND HAS A MAXIMUM WIDTH OF 30 M THE MN ORE OCCURS AS RUBBLE AND SURFACE ENRICHED SOLID ROCK THE MN ORE IS MAINLY PSILOMELANE WITH LOCAL ENRICHMENT OF BRAUNITE HAUSMANNITE AND LATE VEINS OF PYROLUSITE ARE FAIRLY COMMON AT DEPTH THE MN GIVES WAY TO MASSIVE HEMATITE WITH A LITTLE MAGNETITE THOUGH A FEW VEINLETS OF MN PERSIST REPRESENTATIVE SAMPLES QUOTED BY GUERNSEY RAN 6773% AND 5753% FE, 005% P2O5 ACCORDING TO GEOLOGICAL SURVEY DATA CARDS, THE SILICA RANGES FROM 01% TO 14%",Mineralization: IRON; Formation: BUT IN ECONOMIC TERMS IT IS EXPECTED BY MGM THAT IT WILL NOT COMPETE FAVOURABLY WITH THE SANJE GROUP.,256.1292503,3.65898929,
Mkushi Copper - Katunga Section,-13.75,29.0,Central Province,Mkushi,Central Province > Mkushi,Mkushi District,Mkushi,80 KM NE of Kabwe,Copper,Gold,Emerald,Active,FREEMAN (1989) ESTIMATED A POSSIBLE ONE MILLION T AT 1.2% Cu (0.4% Cu CUT-OFF) IN FOUR SEPARATE BODIES.,DISSEMINATED SULPHIDES HYDROTHERMAL (?) PORPHYRY COPPER (?),"Rock types: SCHIST, GNEISS; Mineralization: CHALCOPYRITE, PYRITE.",183.873735,2.626767643,
Umba River,-14.3333,30.6333,Eastern Province,Nyimba,Eastern Province > Nyimba,Within Western Part Of Former Nyimba Mining Licence 123 8 Km NNW Of Nyimba Township,Nyimba,About 370 road KM ENE of Lusaka 85 KM west of Petauke,Gold,,Silver,Active,NIL,VOLCANOGENIC (?) STRATIFORM MASSIVE SULPHIDE,"Rock types: GRANITE, QUARTZITE, SCHIST; Mineralization: COPPER, MALACHITE, GOLD; Formation: IT CONSISTS OF PRECAMBRIAN ROCKS OF THE MUVA GROUP.",361.4811997,5.164017139,
Nyimba-Petauke Area - Chipirinyuwa Prospect (Also Ngambua Lutala Hills Noake),-14.3333,30.6333,Eastern Province,Nyimba,Eastern Province > Nyimba,Within Nyimba Mining Licence 123,Nyimba,370 KM ENE of Lusaka,Zinc,Lead,Copper,Unknown,MINERAL SEARCH OF AFRICA LOCATED CU AND Zn GEOCHEMICAL ANOMALIES. FOLLOWED UP BY RESISTIVITY AND GRAVITY SURVEYS,LIMITED PITTING/TREECHING AND 10,000 M IN ZZ BOREHOLES,361.4811997,5.164017139,
Shankalama - Chibonti,-14.1833,30.0833,Central Province,Mkushi,Central Province > Mkushi,Lunsemfwa Valley,Mkushi,140 KM NNW of Petauke,Gold,,,Unknown,ALLUVIAL GOLD,ALLUVIAL GOLD IN THE GRAVELS OF THE SHANKALAMA CHIBONTI AND CHISANGA RIVERS DRAINING BASIC TO ULTRABASIC INTRUSIVES REGIONAL GEOLOGY TO THE SOUTH SHOWS THIS AREA TO BE ON THE EASTERN EDGE OF THE MULUNGUSHI BELT UNDERLAIN BY QUARTZ SCHIST AND QUARTZITE WITH MINOR AMPHIBOLITE CONSIDERED CLASTIC DEPOSITIONS OF THE MIDDLE MUVA UPPER PROTEROZOIC DEFORMATION ILLUSTRATED BY SHEAR FOLDING AND INTRUSION OF 15 X 08 KM MAIN BODY OF GABBRO PYROXENITE SERPENTINITE AND TALC SCHIST WHOSE SHEARED MARGINS OCCUR AS CHLORITE SCHIST AND IRON FM CUT BY NUMEROUS QUARTZ VEINLETS,Minerals: Gold,303.3757503,4.33393929,
Mpongo,-14.3167,30.1667,Central Province,Mkushi,Central Province > Mkushi,Lunsemfwa Valley - 3 Km From East Bank Of The Lunsemfwa River,Mkushi,240 KM east of Kabwe 31 KM NE of Mkushi,Copper,Zinc,Lead,Active,"FREEMAN (1989) USING A CUT-OFF OF 1% Cu OR 3.75% Zn OVER A TRUE WIDTH OF AT LEAST 1.5 M AND A TONNAGE FACTOR OF 3.1 T/CU M ESTIMATED TWO SULPHIDE ZONES (FROM 30-150 M) TO CONTAIN RESOURCES OF: COPPER-RICH ZONE - 733,000 T @ 1.47% Cu, 1.55% Zn, 0.62% Pb & 39.4 G/T Ag ZINC-RICH ZONE - 158,000 T @ 0.15% Cu, 6.4% Zn, 0.98% Pb & 19.4 G/T Ag PRIOR ESTIMATES BY ZAMANGLO AND FREEMAN ARE VERY SIMILAR TO FREEMANS NEW NUMBERS.",STRATIFORM MASSIVE SULPHIDE,"Rock types: QUARTZITE, SCHIST, CONGLOMERATE; Mineralization: COPPER, CHALCOPYRITE, PYRITE; Formation: PART OF LUNSEMFWA GROUP.",319.5291825,4.564702607,
Nyimba (Kapeepu),-14.5039,30.7586,Eastern Province,Nyimba,Eastern Province > Nyimba,Near Villages Of Nyimba And Kapeepu,Nyimba,60 KM west of Petauke,Tourmaline,Beryl,,Unknown,PEGMATITES,THIS AREA IS MENTIONED BY MONEY (1989) AND BY PATNEY AND TETHER (1989-7) THE PEGMATITE OCCUR IN A NW TRENDING BELT SOME 20 KM W OF THE KNOWN EXPOSURES OF THE SINDA BATHOLITH TO WHICH THEY ARE BELIEVED TO BE RELATED ESSENTIALLY THEY ARE HIGH-TEMPERATURE PEGMATITE HENCE THE PRESENCE OF TOURMALINE BUT DID NOT HAVE A SIGNIFICANT PHASE IN WHICH GEM BERYLS WERE PRODUCED THE AREA HAS REPORTEDLY PRODUCED GOOD QUALITY PINK AND GREEN TOURMALINE BUT THE ONLY SAMPLES OFFERED TO MGM WERE DARK GREEN SUB-OPAQUE SEMI-GEMS THAT DO NOT COMPARE WITH MADAGASCAR BI-COLOURS,THE NYIMBA PEGMATITES ARE OF A DIFFERENT FAMILY TO THOSE AT LUNDAZI AND DO NOT SEEM TO HAVE THE ECONOMIC POTENTIAL OF THE LATTER LOCALITY.,383.2591367,5.475130525,
Nchoncho,-14.9833,30.0333,Central Province,Mkushi,Central Province > Mkushi,0.8 Km South Of The Great East Road 43 Km East Of Rufunsa,Mkushi,211 KM by road east of Lusaka,Gold,Bismuth,,Unknown,QUARTZ VEIN SYSTEM,THE QUARTZ VEIN SYSTEM IS ASSOCIATED WITH A NARROW BUT EXTENSIVE SHEAR ZONE TRENDING 70° DIP STEEP W CUTTING BASEMENT GNEISSES THE VEINS CONTAIN QUARTZ AND TOURMALINE THEY SPLIT AND PINCH AND SWELL ALONG STRIKE AND ARE AS MUCH AS 60 M LONG INDIVIDUALLY AND 21 M WIDE THE TOURMALINE MAKES UP 5% TO 10% OF THE VEIN MATERIAL AND OCCURS WITH SPECULAR HEMATITE AND SMALL POCKETS OF EARTHY PALE YELLOWISH TO GREENISH-GREY BISMUTITE SAMPLING RECORDS RANGE FROM NIL TO A MAXIMUM OF 174% BI IN TRENCH 30-A NO GOLD ASSAYS ARE ON RECORD,Minerals: Gold,360.2985351,5.14712193,
Luangua Bridge Group,-14.7542,30.0083,Central Province,Mkushi,Central Province > Mkushi,Near The Luangwa River Bridge And A Number Of Other Localities,Mkushi,50 to 100 KM east of Rufunsa,Mica,Beryl,Tourmaline,Unknown,UNKNOWN,PEGMATITE,THE PEGMATITES WERE REPORTED BY FREEMAN TO CONTAIN SCATTERED CRYSTALS OF GREEN BERYL MEASURING UP TO 15 CM IN DIAMETER.,339.660033,4.852286186,
Humbi,-14.5,31.3333,Eastern Province,Nyimba,Eastern Province > Nyimba,Near Humbi Village,Nyimba,32 KM south of Petauke,Copper,Cobalt,Silver,Active,NIL,COPPER OCCURRENCE,"Rock types: GRANITE, GNEISS; Mineralization: CHALCOPYRITE, PYRITE.",435.4698378,6.220997683,
Cymric,-14.0833,32.9667,Eastern Province,Chadiza,Eastern Province > Chadiza,Chadiza District Eastern Province,Chadiza,35 KM SE of Chipata,Gold,,,Unknown,ALTERATION ZONE METAMORPHIC (?) HYDROTHERMAL (?),PROSPECT LOCATED NEAR THE SOUTH BANK OF THE NYERERE RIVER ACCORDING TO NORTH CHARTERLAND AT THE CONTACT OF A METAVOLCANIC INLIER WITHIN A MONOTONOUS LEUCOCRATIC GNEISS UNIT THAT CONTAINS SOME BIOTITE-QUARTZ SCHIST HORIZONS THE INLIER IS INTRUDED BY SERPENTINITES AND DIABASE PORPHYRY AND MAY BE ASSOCIATED WITH VOLCANIC ACTIVITY THE DIABASE PORPHYRY IS COMPOSED PREDOMINANTLY OF MEDIUM TO COARSE GRAINED PLAGIOCLASE AND CLINOPYROXENE WITH DEVITRIFIED GLASS IN THE INTERSTICES IMPLICATING A HYPABYSSAL ORIGIN FOLIATION STRIKES GENERALLY WNW TO NNE AND APPEARS TO HAVE BEEN AFFECTED BY SUBSEQUENT GENTLE FOLDING A FEW TRAVERSES BY MINEX SOUTH OF THE PROSPECT SHOWED AREAS MAPPED BY NORTH CHARTERLAND AS QUARTZITES TO BE A WELL FOLIATED (EPIDOTE +/- CHLORITE)-ACTINOLITE-QUARTZ SCHIST AN INTERMEDIATE META-VOLCANIC OR META-CALC-ARENITE AND THE QUARTZITES TO BE LESS EXTENSIVE THAN AS MAPPED LOCALLY TUFFS AND BASIC LAVAS ARE INTERBEDDED RATHER THAN AS SEPARATE UNITS AS MAPPED THE TUFFS ARE A CLASTIC GREENISH-GREY ROCK COMPOSED OF ASH TO LAPILLI-SIZED SUBANGULAR FELSIC FRAGMENTS AND ROUNDED TO SUBANGULAR EPIDOTE-ACTINOLITE-QUARTZITE PEBBLES THAT ACCORDING TO MINEX HAVE MORE THE APPEARANCE OF A CONGLOMERATE THAN AN AGGLOMERATE THE TRENCHES EXPOSE QUARTZ VEIN RUBBLE REDDISH COLOURED SCHIST DARK WEATHERED MICA SCHIST AND MICACEOUS QUARTZITES THE ROCK APPARENTLY MINED IS A FINE-GRAINED GREENISH COLOURED QUARTZ-CHLORITE-EPIDOTE SCHIST CONTAINING NARROW QUARTZ STRINGERS AND LOOKING ALTERED TO A WHITE QUARTZ-KAOLINITE ROCK A WELL DEVELOPED ALTERNATION OF HARD AND SOFT BEDS UP TO 1 M THICK IS PRESENT TWO SETS OF SCHISTOSITY ARE PRESENT WITHOUT PARALLEL TO THE BEDDING NO VISIBLE GOLD WAS OBSERVED EITHER IN THE ROCKS,Minerals: Gold,579.8480142,8.28354306,
Itapira,-15.45,26.5,Northern Province,Mumbwa,Northern Province > Mumbwa,East Of The Kafue National Park South Of The Mumbwa Road,Mumbwa,80 KM SW of Mumbwa,Diamond,,,Unknown,DIAMOND OCCURRENCE,THE BEDROCK GEOLOGY IN THE AREA IS BELIEVED TO BE LIMITED TO GRANITE NO KIMBERLITES WERE FOUND,Mineralization: DIAMOND.,355.522789,5.078896986,
Sonkwe - Itapira Group,-15.2542,26.5072,Northern Province,Kafue,Northern Province > Kafue,North Of The Kafue,Kafue,45 to 85 KM SW of Mumbwa,Iron,,,Unknown,MAINLY SEDIMENTARY IRON FORMATION,SONKWE: 22 KM WNW OF NAMAZOMBO SEDIMENTARY IRON FORMATION ASSOCIATED WITH KUNDELUNGU PYROCLASTICS AND SPILITES HEMATITE-JASPER-SULPHIDE MINERALIZATION GRADING 40% TO 50% FE SONKWE NORTH: ONE KM W OF SONKWE SIMILAR TO SONKWE 50% TO 60% FE KNAKO: 19 KM WNW OF NAMWALA SEDIMENTARY IRON FORMATION ASSOCIATED WITH KUNDELUNGU PYROCLASTICS AND PEBBLY GRITS <1 MILLION T @ 40% TO 50% FE ITAPIRA: 20 KM WNW OF NAMSENGA SMALL ELONGATED NE OF SEDIMENTARY OR REPLACEMENT IRON FORMATION ASSOCIATED WITH SCHIST AND GRANITE-GNEISS CONSISTS OF HEMATITE AND CHERT ITAPIRA NORTH: 18 KM W OF ITAPIRA SMALL SKARN DEPOSIT ASSOCIATED WITH SYENITE CONSISTS OF HEMATITE AND CHERT,THE OCCURRENCES ARE TOO REMOTE TO BE OF ECONOMIC INTEREST.,335.4669956,4.792385651,
Manakumbo (Smashikaula) Group,-15.2542,26.9242,Northern Province,Vicinity Of Manakumbo Village,Northern Province > Vicinity Of Manakumbo Village,Vicinity Of Manakumbo Village,Vicinity Of Manakumbo Village,40 KM south of Mumbwa,Iron,,,Active,SKARN AND SEDIMENTARY IRON DEPOSITS,SMASHIKAULA NORTH: 105 KM N OF MANAKUMBO MAGNETITE IN SEDIMENTARY BANDED IRONSTONE VERY SIMILAR TO NKOMBWA (SEE) SMASHIKAULA SOUTH: 9 KM N OF MANAKUMBO A HILL ELONGATED NE RISING 35 M ABOVE THE SURROUNDING FLATS MASSIVE MAGNETITE WITH SOME HYDROXIDES AND RARE PY PO AND CP THE DEPOSIT IS DESCRIBED AS A SYNFORM IN WHICH LIMESTONES HAVE BEEN METASOMATICALLY REPLACED THE DEPOSIT MEASURES 300 X 20 M AND WAS INVESTIGATED BY DRILLING BY GEOZAVOD IN 1966 NEWSE: 12 KM WNW OF MANAKUMBO SMALL HEMATITE-SULPHIDES SKARN DEPOSIT 30% TO 40% FE KMANAKUMBO: 6 KM WNW OF MANAKUMBO TABULAR MAGNETITE-HEMATITE SKARN OR REWORKED SEDIMENTARY DEPOSIT 40% TO 50% FE MANAGAZI: 5 KM N OF MANAKUMBO SMALL HEMATITE-MAGNETITE SKARN DEPOSIT 40% TO 50% FE MUSEFU: 20 KM WNW OF MANAKUMBO SEDIMENTARY IRON FORMATION FORMING PART OF THE SONKWE-NKOMBWA RANGE MASSIVE HEMATITE AND JASPER KILOMBWA-MASUNA: 24 KM WNW OF MANAKUMBO SEDIMENTARY IRON FORMATION FORMING PART OF SONKWE-NKOMBWA RANGE MASSIVE HEMATITE AND TACONITE,THESE DEPOSITS MAY BE CONSIDERED FOR MINING TO FEED A CENTRAL SMELTER BUT ARE NOT HIGH PRIORITY IN MGMs OPINION.,318.621535,4.551736214,
Mambala Group,-15.2542,27.1742,Central Province,Kabwe,Central Province > Kabwe,Vicinity Of Mambala Village,Kabwe,40 KM south of Mumbwa,Iron,,,Active,SKARN AND SEDIMENTARY IRON DEPOSITS,MAMBALA NORTH: 105 KM N OF MAMBALA MAGNETITE IN SEDIMENTARY BANDED IRONSTONE VERY SIMILAR TO NKOMBWA (SEE) MAMBALA SOUTH: 9 KM N OF MAMBALA A HILL ELONGATED NE RISING 35 M ABOVE THE SURROUNDING FLATS MASSIVE MAGNETITE WITH SOME HYDROXIDES AND RARE PY PO AND CP THE DEPOSIT IS DESCRIBED AS A SYNFORM IN WHICH LIMESTONES HAVE BEEN METASOMATICALLY REPLACED THE DEPOSIT MEASURES 300 X 20 M AND WAS INVESTIGATED BY DRILLING BY GEOZAVOD IN 1966,THESE DEPOSITS MAY BE CONSIDERED FOR MINING TO FEED A CENTRAL SMELTER BUT ARE NOT HIGH PRIORITY IN MGMs OPINION.,311.2158412,4.445940588,
Kela,-15.2833,26.2,Northern Province,Kafue,Northern Province > Kafue,East Of The Kafue River West Of The Itezhi-Itezhi Road,Kafue,Kela is approximately 48 KM south of the Mumbwa-Kafue road,Diamond,,,Unknown,BARREN KIMBERLITE,GRANITE FORMS THE COUNTRY ROCK IN THE ENTIRE AREA THE THREE PIPES HAVE DIMENSIONS ELONGATED NW AS FOLLOWS: KB1 77 X 30 M KB2 38 X 30 M KB3 15 X 8 M THE KIMBERLITE IS SOFT GREEN WEATHERED WITH NO EVIDENCE OF SEDIMENTARY MATERIAL NO DIAMONDS WERE RECOVERED,THE OCCURRENCE APPEARS TO HAVE BEEN ADEQUATELY EXPLORED BY DE BEERS.,353.8606258,5.055151798,
Kalola,-15.1667,27.9167,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,40 KM NW of Lusaka,Iron,,,Unknown,SEDIMENTARY IRON FORMATION,SMALL SEDIMENTARY IRON FORMATION IN LOWER KATANGA CHUNGU FORMATION IT CONSISTS OF MAGNETITE AND HEMATITE IN QUARTZ SCHIST,Mineralization: IRON.,292.9058525,4.184369322,
Nampundwe (King Edward),-15.466666666666669,27.916666666666668,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Lusaka,Kabwe,40 KM WSW OF LUSAKA,Sulphur,Copper,Iron,Mined By ZCCM,"Fully developed: 663,000 T @ 16.7% S; Undeveloped: 7.8M T @ 16.1% S [cite: 29-35].",STRATIFORM SULPHIDE-IRON,Marine pyrite-magnetite striking NW dipping steep SW. Cheta Formation.,326.25476865862936,4.660782409408991,LUSAKA-SANJE AREA
Dunrobin (Luiri),-15.15,27.183333333333334,Central Province,Kabwe,Central Province > Kabwe,Mumbwa,Kabwe,27 KM SE OF MUMBWA,Gold,Copper,Bismuth,Flooded/Percolation Plant,"Tailings: 57,000 T @ ~0.95 g/t. Shoot: 2,300 T @ 2 g/t [cite: 96-97].",HYDROTHERMAL VEIN,Sheared western nose of Matala Dome anticline. Contact zone heavy tectonised [cite: 102-104].,299.7324988875804,4.281892841251149,MUMBWA AREA
Matala (Mine),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Mumbwa,Kabwe,29 KM SE OF MUMBWA,Gold,,,Dewatering,"Slimes: 40,000T @ 2-3.3 g/t. Waste: 7,600T @ 9.83 g/t[cite: 213].",HYDROTHERMAL QUARTZ VEIN,Large dome capped by silicified breccia 'dyke'. Quartz-tourmaline vein [cite: 233-235].,297.3251020298595,4.247501457569422,MUMBWA AREA
Ace (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,2 Km West Of Matala,Kabwe,29 KM SE OF MUMBWA,Gold,,,Active,Avg surface value 4.5 g/t Au [cite: 201].,VEIN,"Quartz-iron-carbonate vein, 0.4m thick, traceable 500m[cite: 201].",297.3251020298595,4.247501457569422,2 KM WEST OF MATALA
Katuamenda (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,10 Km Ese Of Matala,Kabwe,29 KM SE OF MUMBWA,Gold,,,Active,Avg value 8.32 g/t (26 assays)[cite: 203].,VEIN,"370m long vein, 0.25m thick. Quartz/siderite/iron oxides[cite: 202].",297.3251020298595,4.247501457569422,10 KM ESE OF MATALA
Rhino (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Matala Area,Kabwe,29 KM SE OF MUMBWA,Gold,,,Active,94m section avg 5.9 g/t over 0.6m [cite: 205].,VEIN,"Highly ferruginous NNE vein, 490m long[cite: 204].",297.3251020298595,4.247501457569422,MATALA AREA
Namabula (Matala Group),-15.15,27.28333333333333,Central Province,Kabwe,Central Province > Kabwe,Within 20 Km Radius Of Matala,Kabwe,,Gold,,,Active,Avg 2.6 g/t[cite: 205].,,Part of Matala group.,297.3251020298595,4.247501457569422,WITHIN 20 KM RADIUS OF MATALA
